time(ms),x_accel,y_accel,z_accel
4254.245,-0.023804,-0.945343,0.277786
4283.786,0.136612,-1.002762,0.232224
4313.332,-0.020844,-0.975876,0.208633
4342.878,-0.208862,-0.930328,0.169724
4372.422,-0.136215,-0.92041,0.055298
4401.965,-0.126877,-0.985931,0.104065
4431.509,-0.192001,-0.950623,0.202957
4461.048,-0.038895,-0.968826,0.197144
4490.593,0.018646,-0.963852,0.213837
4520.134,-0.223328,-0.979385,0.218201
4549.674,-0.101471,-1.043228,0.19046
4579.214,0.005585,-1.015778,0.254166
4608.754,0.31395,-1.127197,0.219376
4638.293,0.107758,-1.024155,0.528061
4667.843,0.357376,-0.746994,0.705643
4697.386,0.22464,-0.871674,0.190079
4726.925,-0.595398,-2.071075,0.387344
4756.466,-0.109344,-1.11911,0.192459
4786.008,0.271988,-0.604385,0.56192
4815.548,0.605087,-0.591797,0.409821
4845.095,0.544754,-0.884766,0.892776
4874.641,0.143387,-1.525818,0.683945
4904.187,0.371628,-1.744492,0.592972
4933.731,0.210846,-1.28894,0.415955
4963.277,0.180664,-0.768692,0.437759
4992.816,0.26297,-0.532196,0.393326
5022.367,0.333664,-0.493515,0.253326
5051.913,0.504791,-0.421265,0.232925
5081.457,0.425766,-0.280045,0.242615
5111.001,0.201157,-0.356689,0.276718
5140.545,0.155807,-0.518463,0.803772
5170.087,0.37468,-0.805649,0.553436
5199.633,0.437073,-1.117889,0.853775
5229.176,-0.174606,-1.205093,0.690399
5258.718,0.009201,-1.446991,-0.059052
5288.262,-0.104874,-1.79129,-0.307449
5317.806,-0.250488,-1.780151,-0.077728
5347.346,0.068878,-1.313644,0.131699
5376.895,-0.001312,-1.217621,0.237289
5406.436,-0.063721,-1.092072,0.303955
5435.98,-0.101471,-0.998444,0.2742
5465.524,-0.139923,-0.949188,0.213165
5495.073,-0.097519,-0.880066,0.115417
5524.608,-0.172653,-0.990509,0.215302
5554.155,-0.141983,-0.921951,0.189651
5583.696,-0.009247,-0.9879,0.105057
5613.238,-0.124817,-0.994476,0.16391
5642.781,-0.257584,-0.889587,0.285202
5672.325,-0.000671,-0.924026,0.30867
5701.851,0.319595,-1.021454,0.18988
5731.41,-0.070007,-1.0569,0.267288
5760.952,-0.178253,-0.887421,0.320587
5790.496,-0.396362,-1.030884,0.398529
5820.04,0.560684,-1.273834,0.434448
5849.581,0.670776,-1.059235,0.354095
5879.103,0.764526,-0.554581,0.532745
5908.663,-0.42514,-0.726212,0.875275
5938.206,-0.79715,-2.73938,-0.135559
5967.748,-0.105072,-0.875534,0.238846
5997.288,0.487473,-0.955185,0.330826
6026.831,0.251099,-1.066345,0.697418
6056.373,0.393097,0.792068,0.367706
6085.916,0.166733,-1.453522,0.534393
6115.459,-0.045486,-2.35553,0.59108
6145,0.157501,-1.608231,0.548126
6174.542,0.20192,-0.97876,0.493164
6204.085,0.162308,-0.68927,0.419312
6233.629,0.243332,-0.483414,0.405258
6263.173,0.339523,-0.372208,0.222107
6292.716,0.482697,-0.336868,0.190323
6322.256,0.324829,-0.32605,0.211823
6351.799,0.064606,-0.400162,0.556961
6381.34,0.240677,-0.684509,0.482849
6410.884,0.604263,-0.92717,0.786743
6440.425,-0.008636,-1.492722,0.832962
6469.967,-0.066986,-1.109741,0.576935
6499.511,-0.122787,-1.914307,-0.440491
6529.056,-0.282974,-1.889832,-0.352554
6558.601,-0.083038,-1.324738,0.139236
6588.121,-0.008865,-1.179062,0.130127
6617.69,0.03833,-1.097549,0.206787
6647.233,-0.023361,-1.038193,0.19455
6676.778,-0.123718,-1.016388,0.163147
6706.321,-0.056946,-0.97496,0.103378
6735.868,-0.015106,-0.973083,0.127213
6765.41,-0.135574,-0.948227,0.227097
6794.955,-0.133118,-0.967346,0.200378
6824.496,-0.041641,-0.938828,0.132614
6854.037,-0.262848,-0.923355,0.132111
6883.577,-0.136139,-0.99733,0.174622
6913.117,0.067505,-0.915833,0.186493
6942.661,-0.135971,-1.009125,0.312805
6972.201,-0.258087,-0.996246,0.261871
7001.74,-0.15654,-0.921982,0.198502
7031.279,0.514389,-1.596024,0.428864
7060.82,0.257507,-0.895111,0.594635
7090.358,0.809601,-0.241608,0.733322
7119.902,-0.32254,-0.887421,0.37915
7149.441,-0.819534,-3.668213,-1.37236
7178.98,0.545166,-0.508087,0.486374
7208.519,0.55307,-0.542831,0.607559
7238.059,0.183533,-0.597,1.074219
7267.572,0.417358,-1.549164,0.793015
7297.138,0.335602,-1.832703,0.85112
7326.68,0.30394,-1.225571,0.661987
7356.22,0.128815,-0.789337,0.49881
7385.759,0.165085,-0.501099,0.455948
7415.3,0.258698,-0.39679,0.329773
7444.839,0.394577,-0.356064,0.276093
7474.381,0.382751,-0.23082,0.260406
7503.92,0.061569,-0.231003,0.373459
7533.462,0.087372,-0.674408,0.53154
7562.956,0.594391,-0.83609,0.717484
7592.5,0.400467,-1.119324,0.921814
7622.042,-0.233719,-1.486877,0.818008
7651.583,-0.307922,-1.415436,0.078766
7681.122,-0.191559,-1.909821,-0.375427
7710.663,-0.194229,-1.725067,-0.020187
7740.201,0.036499,-1.21315,0.067917
7769.742,0.144287,-1.112717,0.178146
7799.283,0.058533,-1.056122,0.272354
7828.826,-0.035751,-0.993057,0.207825
7858.367,-0.125305,-0.999405,0.178543
7887.906,-0.145523,-0.876434,0.084763
7917.448,-0.208984,-0.935333,0.130249
7946.991,-0.158035,-0.942657,0.188171
7976.531,-0.076874,-0.975906,0.190628
8006.074,-0.055908,-0.996689,0.232529
8035.618,-0.093506,-0.930267,0.269928
8065.161,-0.03064,-0.934799,0.280396
8094.702,-0.07724,-0.97052,0.242325
8124.241,-0.206345,-1.031418,0.258118
8153.784,0.032867,-0.883072,0.22789
8183.325,0.102875,-1.326202,0.413696
8212.868,0.349564,-1.23291,0.49295
8242.408,0.783768,0.038605,0.819641
8271.952,-0.085419,-1.602539,-0.082932
8301.495,0.168137,-1.506073,1.590668
8331.034,-0.292877,-1.394531,-0.759171
8360.579,0.331512,-0.533234,0.593582
8390.122,0.204681,-0.558823,0.449844
8419.663,0.626862,-0.680084,0.612869
8449.206,0.227524,-1.61969,0.788055
8478.748,0.22879,-1.711136,0.829636
8508.285,0.164291,-1.25264,0.365189
8537.826,0.211945,-0.735168,0.447998
8567.368,0.323868,-0.522202,0.415649
8596.91,0.292465,-0.473053,0.250153
8626.451,0.463974,-0.413742,0.208252
8655.992,0.393265,-0.248383,0.253571
8685.534,0.140488,-0.24147,0.326614
8715.077,-0.033035,-0.649246,0.45726
8744.619,0.536407,-0.802429,0.724152
8774.16,0.281433,-1.249222,0.835373
8803.706,-0.128098,-1.220123,0.682953
8833.251,-0.115067,-1.528671,-0.146515
8862.796,-0.391968,-1.958908,-0.32373
8892.34,-0.007248,-1.516327,0.101456
8921.883,0.034607,-1.228104,0.084061
8951.427,0.02533,-1.149658,0.154984
8980.97,-0.062897,-1.056,0.216583
9010.512,-0.149902,-0.965729,0.1772
9040.056,-0.012619,-0.977783,0.197647
9069.603,0.077713,-0.956619,0.277435
9099.122,0.020737,-0.987366,0.231506
9128.687,-0.034332,-0.95076,0.236267
9158.226,-0.167892,-0.950974,0.157455
9187.771,-0.272308,-0.948517,0.117722
9217.313,-0.121628,-0.986923,0.119537
9246.858,0.046097,-0.94722,0.211487
9276.398,-0.161636,-0.937347,0.255722
9305.939,-0.3647,-1.034912,0.195358
9335.482,0.090179,-0.954971,0.123764
9365.02,-0.129776,-0.925262,0.334213
9394.567,0.437881,-1.569366,0.335114
9424.11,0.391068,-0.920334,0.57666
9453.652,0.829437,-0.22316,0.233658
9483.196,-0.911835,-0.80574,0.972839
9512.74,-1.086853,-3.198288,-1.993851
9542.279,0.588058,-0.846115,0.261719
9571.825,0.256714,-0.527939,0.44017
9601.371,0.344482,-0.526474,0.391068
9630.914,0.334045,-0.903397,0.63649
9660.457,0.176132,-1.465668,0.575394
9689.997,0.243393,-1.795593,0.511703
9719.533,0.258362,-1.294464,0.49353
9749.077,0.15715,-0.911057,0.476044
9778.617,0.135941,-0.621384,0.46344
9808.157,0.264786,-0.506622,0.33551
9837.701,0.384964,-0.350372,0.274033
9867.241,0.444,-0.293869,0.235733
9896.778,0.174438,-0.278381,0.295517
9926.325,0.02034,-0.450134,0.712402
9955.867,0.273987,-0.696747,0.651718
9985.413,0.595886,-1.046158,0.908966
10014.957,0.003708,-1.360535,0.863602
10044.5,-0.045517,-1.191574,0.231354
10074.037,-0.221252,-1.841934,-0.302277
10103.584,-0.384323,-1.899612,-0.23465
10133.124,0.049194,-1.267441,-0.053162
10162.667,0.047256,-1.172363,0.137466
10192.209,-0.014328,-1.067215,0.197815
10221.751,-0.102661,-0.96666,0.227814
10251.287,-0.091904,-1.024094,0.171005
10280.832,-0.010574,-0.984375,0.246384
10310.377,0.020981,-0.988297,0.262436
10339.92,-0.098511,-0.941788,0.211823
10369.463,-0.087616,-0.96936,0.171204
10399.004,-0.123169,-0.939606,0.142105
10428.548,-0.201248,-0.951767,0.142548
10458.088,-0.118881,-1.004578,0.224152
10487.631,0.035492,-0.916611,0.204102
10517.174,-0.155472,-0.957184,0.25528
10546.717,-0.343369,-1.021896,0.173279
10576.26,-0.012024,-1.004654,0.205017
10605.793,0.281265,-1.285278,0.277969
10635.345,0.398636,-0.8685,0.417328
10664.888,0.292175,-0.776093,0.554428
10694.43,-0.51799,-1.030533,0.425034
10723.976,-0.215332,-1.447815,0.459229
10753.519,0.0802,-1.399689,-0.637589
10783.065,0.396194,-0.632889,0.471237
10812.612,0.482574,-0.680069,0.42923
10842.159,0.374878,-0.915283,0.540222
10871.706,0.149643,-1.000412,0.718674
10901.254,0.205246,-1.572342,0.628357
10930.799,0.329407,-1.583954,0.660721
10960.342,0.146011,-0.95932,0.688492
10989.887,0.062805,-0.617355,0.588852
11019.426,0.244736,-0.54657,0.47905
11048.968,0.293243,-0.379944,0.318054
11078.51,0.488663,-0.378632,0.293991
11108.055,0.216461,-0.222992,0.356003
11137.6,0.056091,-0.262024,0.474457
11167.142,-0.076706,-0.645401,0.425735
11196.682,0.531219,-0.913254,0.742157
11226.224,0.101212,-1.398026,0.903839
11255.768,0.016327,-1.14296,0.629929
11285.308,-0.016464,-1.746002,-0.403351
11314.853,-0.155197,-1.871323,-0.260513
11344.396,-0.049423,-1.444321,0.102646
11373.936,-0.045227,-1.145676,0.146667
11403.482,0.049149,-1.113678,0.187241
11433.028,-0.039108,-1.000244,0.272629
11462.572,-0.082108,-0.97403,0.121368
11492.118,-0.121643,-0.993088,0.110336
11521.663,-0.250931,-0.90889,0.093765
11551.21,-0.148331,-0.909164,0.111618
11580.756,-0.042526,-0.993607,0.177505
11610.302,-0.036285,-1.007858,0.190491
11639.846,-0.051147,-0.964371,0.224365
11669.389,0.01088,-0.968689,0.292679
11698.931,0.012009,-0.942245,0.344971
11728.475,-0.034622,-0.989761,0.243805
11758.019,-0.287567,-1.06601,0.252594
11787.564,-0.084549,-0.829147,0.284409
11817.102,-0.019592,-1.186111,0.438904
11846.651,0.203033,-1.211014,0.351593
11876.197,0.821762,-0.299667,0.428574
11905.744,0.255753,-1.546234,0.072556
11935.292,-0.451553,-0.791824,2.218918
11964.838,-0.832184,-2.117355,-1.820862
11994.381,0.70343,-0.948929,0.366882
12023.928,0.243637,-0.538528,0.460419
12053.471,0.308472,-0.429398,0.221878
12083.012,0.190216,-1.164429,0.589233
12112.555,0.069107,-1.591339,0.68425
12142.1,0.438293,-1.754105,0.537567
12171.636,0.317001,-1.093536,0.505981
12201.184,0.199295,-0.728622,0.484024
12230.727,0.254868,-0.613815,0.443359
12260.272,0.305557,-0.465973,0.30069
12289.817,0.430359,-0.453491,0.233353
12319.363,0.363724,-0.204849,0.301285
12348.901,0.001007,-0.259674,0.338806
12378.452,-0.103836,-0.619034,0.402191
12407.997,0.613464,-0.777863,0.718185
12437.538,0.200226,-1.272629,0.742126
12467.084,-0.083893,-1.142166,0.666687
12496.631,-0.010147,-1.494278,-0.112289
12526.174,-0.35141,-1.776749,-0.0914
12555.64,-0.204742,-1.687653,-0.061935
12585.192,0.059784,-1.190964,0.066315
12614.741,0.03035,-1.183395,0.192657
12644.288,-0.008667,-1.105103,0.248459
12673.833,-0.026703,-0.97641,0.222443
12703.364,-0.095978,-1.008072,0.250427
12732.912,-0.036682,-0.913437,0.136368
12762.454,-0.145981,-0.935822,0.207733
12791.998,-0.189499,-0.917938,0.16507
12821.54,-0.095291,-0.970673,0.096512
12851.08,-0.266037,-0.904694,0.163712
12880.621,-0.329224,-0.941238,0.183014
12910.161,0.032028,-1.027344,0.198471
12939.707,0.240234,-1.000809,0.220108
12969.248,-0.165024,-1.03421,0.25386
12998.79,-0.320908,-0.9104,0.240585
13028.333,-0.274643,-1.012695,0.40538
13057.877,0.246277,-1.229889,0.241165
