time(ms),accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ
0,0.310348511,0.508651733,-0.774429321
9.6840001,0.292312622,0.525054932,-0.772155762
19.3680001,0.279754639,0.532958984,-0.780059814
29.0700001,0.286300659,0.542434692,-0.77494812
38.7540001,0.28868103,0.557403564,-0.77482605
48.4380001,0.288528442,0.56817627,-0.779281616
58.1180001,0.2862854,0.58203125,-0.783447266
67.7750001,0.286651611,0.585968018,-0.787643433
77.4880001,0.289199829,0.579681396,-0.782714844
87.1440001,0.287002563,0.574447632,-0.774658203
96.8550001,0.28163147,0.570388794,-0.766433716
106.5400001,0.275146484,0.561798096,-0.763778687
116.2140001,0.277374268,0.561981201,-0.764953613
125.9050001,0.2865448,0.571624756,-0.758407593
135.5860001,0.284591675,0.57510376,-0.751159668
145.2460001,0.279525757,0.576965332,-0.746353149
154.9500001,0.276473999,0.583221436,-0.753952026
164.6320001,0.278991699,0.583221436,-0.767974854
174.3140001,0.286972046,0.574356079,-0.785293579
183.9940001,0.292892456,0.566116333,-0.7915802
193.6470001,0.294311523,0.559860229,-0.775772095
203.3580001,0.293075562,0.559356689,-0.766876221
213.0380001,0.287628174,0.564987183,-0.764038086
222.6980001,0.291809082,0.562744141,-0.765945435
232.3990001,0.289093018,0.564529419,-0.773117065
242.0830001,0.290313721,0.564620972,-0.770172119
251.7410001,0.289031982,0.565505981,-0.771102905
261.4500001,0.28112793,0.557662964,-0.763595581
271.1170001,0.2837677,0.555969238,-0.756088257
280.8100001,0.295440674,0.554626465,-0.740066528
290.5000001,0.304718018,0.552154541,-0.737075806
300.1540001,0.301147461,0.549865723,-0.735961914
309.8640001,0.295837402,0.553787231,-0.738739014
319.5470001,0.29524231,0.555633545,-0.747146606
329.2300001,0.286651611,0.554168701,-0.764022827
338.9130001,0.283233643,0.549636841,-0.77192688
348.5840001,0.285842896,0.549133301,-0.778808594
358.2590001,0.289916992,0.549301147,-0.770751953
367.9330001,0.291824341,0.546417236,-0.768188477
377.6440001,0.292999268,0.550186157,-0.759811401
387.3090001,0.289840698,0.552536011,-0.744018555
397.0010001,0.286437988,0.543777466,-0.743286133
406.6930001,0.289382935,0.53427124,-0.750732422
416.3650001,0.289978027,0.518188477,-0.761779785
426.0500001,0.289474487,0.497955322,-0.773422241
435.7240001,0.276733398,0.495727539,-0.785858154
445.4120001,0.265838623,0.495727539,-0.798568726
455.1110001,0.261856079,0.515686035,-0.814682007
464.7940001,0.263656616,0.535827637,-0.806121826
474.4700001,0.244262695,0.531661987,-0.787017822
484.1590001,0.230651855,0.474472046,-0.794235229
493.8410001,0.224136353,0.480209351,-0.780288696
503.5230001,0.219039917,0.507263184,-0.793182373
513.2070001,0.204452515,0.522659302,-0.806793213
522.8840001,0.191421509,0.545089722,-0.762008667
532.5710001,0.203613281,0.5493927,-0.739730835
542.2540001,0.238311768,0.593811035,-0.747024536
551.9230001,0.247772217,0.625549316,-0.779815674
561.5570001,0.24671936,0.617584229,-0.7996521
571.2410001,0.24546814,0.601654053,-0.765731812
580.8990001,0.247329712,0.574707031,-0.714691162
590.6090001,0.252349854,0.566467285,-0.68548584
600.2770001,0.256958008,0.584960938,-0.649581909
609.9510001,0.249328613,0.596664429,-0.618469238
619.6600001,0.248641968,0.587234497,-0.609054565
629.3430001,0.248199463,0.569503784,-0.626724243
639.0160001,0.250793457,0.587890625,-0.653076172
648.7110001,0.254669189,0.599914551,-0.640762329
658.3940001,0.251434326,0.581069946,-0.625610352
668.0710001,0.254119873,0.496826172,-0.64944458
677.7620001,0.278930664,0.546569824,-0.616958618
687.4460001,0.3099823,0.593154907,-0.58807373
