time (ms),x_accel,y_accel,z_accel
4313.776,-0.740677,-1.691803,-0.52597
4343.32,-0.048965,-2.057175,-0.430817
4372.865,0.339355,-2.338898,0.335007
4402.404,0.347122,-1.498566,1.17981
4431.947,0.684097,-0.937408,1.243515
4461.466,0.385559,-1.544418,1.512177
4491.03,0.986099,-0.099075,-0.170258
4520.573,1.35611,0.274948,1.198502
4550.117,-0.403976,-0.451126,1.743896
4579.662,0.927475,0.332855,1.077972
4609.208,1.663422,-0.058578,1.412109
4638.736,1.243469,-1.268066,1.288864
4668.304,0.744873,-0.832474,1.133377
4697.848,0.315567,-0.436768,0.800613
4727.389,0.479202,-0.255066,0.833206
4756.932,0.781342,-0.187897,0.514923
4786.477,0.886627,-0.354355,0.819382
4816.022,0.485519,-0.716232,1.063034
4845.568,-0.457474,-1.023605,1.216339
4875.111,-0.091751,-0.996536,0.850693
4904.656,0.053299,-2.306168,1.172256
4934.2,0.476318,-1.103531,-0.425232
4963.744,0.087372,-0.986221,-0.59201
4993.291,-0.542694,-0.586014,-0.616882
5022.834,-0.800018,0.139908,-0.255127
5052.377,-0.794449,-1.022766,-0.457275
5081.922,-0.43425,-1.694855,-0.568878
5111.466,-0.227737,-2.379868,-0.41893
5141.011,0.288116,-2.217972,0.860474
5170.554,0.120911,-1.366104,1.32283
5200.096,0.985886,-1.295975,1.190308
5229.638,0.45015,-1.405136,1.506958
5259.181,2.160065,1.639069,0.54483
5288.725,1.178345,-3.380234,-0.919662
5318.268,0.691284,-0.126129,1.428345
5347.813,1.236237,0.532394,1.357407
5377.355,1.77951,-0.50885,1.474091
5406.899,1.273285,-1.014572,1.439957
5436.444,0.401962,-0.94072,0.775024
5465.986,0.394623,-0.555222,0.794998
5495.524,0.52327,-0.263794,0.547501
5525.071,1.05545,-0.220139,0.459534
5554.616,1.027954,-0.490173,0.913498
5584.159,0.232254,-0.7043,1.083649
5613.633,-0.526505,-0.901459,1.076614
5643.178,-0.566391,-2.76796,1.185745
5672.718,0.629715,-1.510315,0.40715
5702.266,0.730255,-1.190887,-0.505325
5731.81,-0.183685,-0.86676,-0.718002
5761.355,-0.900726,-0.188232,-0.359039
5790.897,-0.961914,-0.426636,-0.43811
5820.438,-0.826202,-1.42984,-0.478455
5849.977,-0.099686,-1.945312,-0.48793
5879.524,-0.059113,-2.460373,0.167801
5909.065,0.08078,-1.746658,1.123566
5938.611,0.538712,-1.349106,1.252274
5968.156,0.665344,-1.408798,1.558899
5997.704,1.085724,1.092896,-0.117081
6027.248,1.73024,-1.56781,-0.597351
6056.798,0.769882,-0.187195,1.477112
6086.341,0.865707,0.227707,1.156693
6115.883,1.780182,0.131897,1.341614
6145.426,1.046051,-1.029114,1.377853
6174.967,1.000198,-0.656769,1.119553
6204.508,0.737106,-0.785797,0.653046
6234.053,0.670792,-0.596863,0.725006
6263.595,0.829483,-0.378082,0.478394
6293.138,0.65976,-0.616882,0.819046
6322.681,0.230255,-0.742844,1.260284
6352.223,-0.42482,-0.940826,0.963043
6381.764,-0.213943,-1.913849,1.016235
6411.312,0.332535,-1.532898,0.491547
6440.856,0.341568,-1.390533,-0.622238
6470.399,-0.191406,-0.909805,-0.594894
6499.949,-0.831726,-0.523148,-0.596085
6529.494,-0.910919,-0.206268,-0.267792
6559.033,-0.952805,-1.607666,-0.749908
6588.579,-0.168427,-1.985626,-0.553848
6618.122,0.083969,-2.702698,0.151428
6647.661,0.623276,-1.613434,1.169281
6677.203,0.349106,-1.709183,1.54126
6706.748,0.571426,-1.269379,1.547729
6736.27,2.442825,2.2117,0.740585
6765.836,-1.336288,-7.399109,-1.594147
6795.378,1.570023,0.291229,1.239166
6824.919,1.958115,0.605133,1.568634
6854.463,1.305649,-1.332382,1.383118
6884.009,0.950333,-0.581528,1.374405
6913.557,0.551682,-0.613754,0.683044
6943.103,0.561768,-0.5065,0.735947
