time(ms),x_accel,y_accel,z_accel
4313.56,0.027634,-0.878601,0.401566
4343.106,-0.542755,-0.987167,0.503571
4372.658,-0.249268,-0.955185,0.47081
4402.204,0.314392,-1.149704,0.532684
4431.75,0.477005,-1.047821,0.250702
4461.296,0.165817,-0.146439,0.178268
4490.841,-0.39209,-2.361588,-0.189926
4520.383,-0.438766,-1.239685,-0.293945
4549.926,-0.098389,-0.686096,0.453522
4579.47,0.27388,-0.767578,0.38443
4609.012,0.264572,-0.751968,0.289566
4638.558,0.140213,-0.743896,0.171326
4668.106,0.125397,-0.778549,0.039703
4697.652,0.165497,-0.938736,-0.108292
4727.196,0.076218,-0.912216,-0.195938
4756.745,0.028839,-0.883759,-0.281662
4786.29,-0.063141,-0.904739,-0.327255
4815.837,-0.111572,-0.968613,-0.237091
4845.382,-0.13916,-1.086639,-0.198822
4874.92,-0.104935,-1.167542,-0.287201
4904.471,-0.152435,-0.992783,-0.377319
4934.014,-0.389511,-1.085907,-0.19342
4963.562,-0.305725,-1.112518,-0.12648
4993.11,-0.139984,-1.016708,-0.241165
5022.657,-0.304886,-0.877411,-0.13826
5052.2,-0.40889,-0.888504,-0.337875
5081.753,-0.128387,-0.900375,-0.443436
5111.3,-0.577301,-0.768143,-0.145065
5140.845,-0.460739,-0.848236,-0.050186
5170.391,-0.064575,-0.846466,0.015228
5199.939,0.00882,-0.962708,0.005692
5229.483,-0.225479,-1.034256,0.002945
5259.035,-0.194473,-0.969452,0.168976
5288.585,0.480194,-1.06958,0.168579
5318.132,-0.022629,-1.090454,0.206696
5347.679,-0.181976,-1.012375,0.170532
5377.224,-0.004639,-1.009903,0.164597
5406.747,-0.053497,-0.991165,0.053726
5436.319,-0.009262,-0.982773,0.065781
5465.866,-0.088394,-0.991821,0.073853
5495.412,-0.3806,-0.945511,0.211151
5524.961,-0.673996,-0.902008,0.493103
5554.509,-0.079773,-0.85817,0.459366
5584.056,0.178711,-0.969574,0.314194
5613.605,0.28923,-1.041367,0.082077
5643.153,0.187256,-0.975235,0.229446
5672.699,-0.126617,-0.965042,0.424652
5702.244,-0.132782,-0.965485,0.474869
5731.796,0.013245,-0.978775,0.374054
5761.346,-0.110687,-0.953903,0.304947
5790.894,0.138168,-0.947662,0.303375
5820.439,0.202896,-0.970505,0.224579
5849.988,0.053162,-1.001297,0.21109
5879.535,0.205521,-0.996704,0.12767
5909.083,0.177505,-0.92688,0.148529
5938.631,0.032043,-0.99971,0.138443
5968.178,0.078552,-0.967957,0.216049
5997.725,0.038208,-0.992615,0.205002
6027.271,0.019974,-0.992371,0.279739
6056.815,-0.017731,-0.955154,0.25621
6086.36,0.011261,-0.931412,0.216721
6115.903,0.070007,-0.990326,0.196732
6145.448,0.029282,-0.962494,0.225952
6174.994,0.032059,-0.945709,0.181885
6204.543,0.210129,-0.969116,0.156509
6234.09,0.162384,-0.948868,0.173264
6263.639,0.079819,-0.958847,0.21138
6293.191,0.017929,-1.001373,0.222519
6322.739,-0.042282,-0.980301,0.264709
6352.287,-0.059967,-0.942657,0.289978
6381.835,-0.074463,-0.906845,0.305893
6411.385,0.076462,-0.900131,0.247574
6440.934,0.12822,-0.992935,0.158676
6470.484,-0.203751,-0.928482,0.055496
6500.031,-0.471359,-0.94751,-0.08284
6529.577,-0.105484,-1.227356,-0.339142
6559.125,0.258698,-1.347244,-0.40062
6588.67,-0.154633,-1.785172,0.065338
6618.214,-0.125259,-1.478897,0.330276
