time(ms),accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ
0,0.015182495,-0.97857666,-0.057861328
30.083,0.031402588,-0.953811646,-0.054122925
60.169,-0.039352417,-0.980499268,-0.028701782
90.234,0.03086853,-1.015090942,-0.039627075
120.318,0.026763916,-0.92300415,-0.08732605
150.417,0.022415161,-0.978469849,-0.061264038
180.48,-0.011886597,-0.973632813,-0.058197021
210.566,0.004501343,-0.982803345,-0.046981812
240.643,-0.005310059,-0.980560303,-0.046829224
270.719,-0.024185181,-0.979660034,-0.049621582
300.779,-0.009521484,-0.981994629,-0.051071167
330.87,-0.02053833,-0.987213135,-0.044265747
360.941,-0.023330688,-0.983627319,-0.046340942
391.018,-0.030197144,-1.022262573,-0.046737671
421.094,-0.012954712,-0.965713501,-0.084396362
451.182,-0.015045166,-0.97718811,-0.082092285
481.264,-0.020355225,-0.96005249,-0.07711792
511.346,-0.033447266,-0.979476929,-0.050216675
541.437,0.016723633,-0.970184326,-0.025024414
601.470125,0.057998657,-0.977249146,-0.029449463
631.540125,0.101852417,-0.961700439,-0.027084351
661.640125,0.088317871,-0.952163696,-0.018630981
691.697125,0.129104614,-0.975250244,0.030044556
721.780125,0.077728271,-0.895294189,0.018859863
751.877125,0.17477417,-0.979324341,0.066497803
781.966125,0.123977661,-0.992172241,-0.048736572
812.026125,0.234985352,-0.970413208,-0.070999146
842.116125,0.208496094,-0.98248291,0.063598633
872.207125,0.157226563,-0.987869263,0.195236206
902.267125,0.084869385,-0.983016968,0.23336792
932.353125,0.275222778,-1.017868042,0.119995117
962.448125,0.195114136,-1.000686646,0.131088257
992.507125,0.157440186,-0.952087402,0.206756592
1022.598125,0.121353149,-0.986221313,0.190811157
1052.657125,0.08744812,-0.985870361,0.232391357
1082.763125,0.159515381,-0.995788574,0.111495972
1112.838125,0.117996216,-0.999099731,0.15687561
1142.922125,0.266418457,-0.985809326,0.278518677
1172.989125,0.202133179,-0.997314453,0.200454712
1203.078125,0.230926514,-0.988449097,0.219451904
1233.144125,0.281463623,-0.99508667,0.161453247
1263.228125,0.259811401,-1.0284729,0.12260437
1293.319125,0.238372803,-1.01550293,0.081420898
1323.409125,0.250762939,-1.078292847,0.081054688
1353.469125,0.042129517,-1.944152832,0.064331055
1383.560125,-0.112869263,-1.531509399,-0.083404541
1413.635125,-0.247955322,-1.8853302,0.352035522
1443.732125,-0.115447998,-1.81803894,0.562179565
1473.813125,0.679489136,-1.305648804,0.287689209
1503.891125,0.565460205,-1.047821045,0.007019043
1533.979125,0.207992554,-0.615585327,0.106842041
1564.060125,-0.025802612,-0.372787476,0.102233887
1594.128125,-0.127212524,-0.191436768,0.109970093
1624.211125,-0.127197266,-0.237579346,-0.016036987
1654.269125,0.018173218,-0.324142456,-0.032180786
1684.362125,0.056488037,-0.56161499,0.013214111
1714.438125,0.212112427,-0.908157349,0.123474121
1744.521125,0.227584839,-1.252609253,0.224884033
1774.624125,0.685012817,-1.525665283,0.477828979
1804.684125,1.399047852,-1.559906006,0.548736572
1834.759125,1.784545898,-1.481582642,0.5234375
1864.833125,1.491210938,-1.245941162,0.31048584
1894.922125,1.403244019,-0.966903687,0.283920288
1925.019125,-0.61239624,-2.948120117,-0.181137085
1955.085125,0.920043945,-0.141983032,0.064453125
1985.148125,0.630279541,-1.190185547,0.570602417
2015.229125,0.43901062,-1.251068115,0.0131073
2045.311125,-0.168899536,-0.900436401,0.197784424
2075.390125,0.094665527,-0.997924805,0.157958984
2105.470125,0.180969238,-0.993087769,0.170333862
2135.565125,0.120651245,-0.971908569,0.16204834
2165.628125,0.035873413,-0.942520142,0.186386108
2195.699125,0.109619141,-0.986907959,0.173492432
2225.762125,0.129974365,-0.95463562,0.231430054
2255.844125,0.132522583,-1.026657104,0.239456177
2285.924125,0.135543823,-0.982849121,0.237854004
2316.000125,-0.010437012,-0.928131104,0.055908203
2346.100125,-0.021865845,-1.138122559,0.238388062
2376.163125,0.24772644,-1.231033325,0.04536438
2406.258125,0.118087769,-1.282775879,0.069335938
2436.322125,0.125946045,-1.320877075,0.007354736
2466.401125,0.131820679,-1.461120605,0.065032959
