time(ms),x_accel,y_accel,z_accel
4283.94,0.002823,-0.997223,0.231079
4313.489,-0.012955,-0.961502,0.314117
4343.035,-0.012283,-0.932663,0.328812
4372.582,0.064056,-0.984894,0.19873
4402.131,-0.110031,-0.961182,0.137054
4431.678,-0.197693,-0.942917,0.142319
4461.224,-0.114426,-0.969116,0.103043
4490.771,-0.098999,-0.967377,0.172775
4520.317,-0.192581,-0.97908,0.201569
4549.864,-0.075211,-0.960785,0.227798
4579.409,0.041733,-0.952667,0.230179
4608.953,-0.122574,-0.999939,0.259018
4638.499,-0.161316,-1.073318,0.184616
4668.045,0.120667,-1.052994,0.296951
4697.589,0.418472,-0.974915,0.272568
4727.13,-0.083359,-1.073715,0.652115
4756.678,0.114655,-0.808426,0.569092
4786.221,0.457565,-0.787598,0.411301
4815.766,-1.102768,-2.40744,-2.112244
4845.312,0.066696,-0.807358,0.473083
4874.858,0.312958,-0.65744,0.428116
4904.401,0.16597,-0.59877,0.317078
4933.952,0.369049,-1.040375,0.432739
4963.495,0.208725,-1.339722,0.669495
4993.041,0.003143,-1.505234,0.697556
5022.589,0.526093,-1.293076,0.677673
5052.134,0.470596,-0.866455,0.388733
5081.678,0.227112,-0.593002,0.450317
5111.226,0.264603,-0.447906,0.309052
5140.771,0.368271,-0.41983,0.220383
5170.318,0.434967,-0.338638,0.32637
5199.865,0.134308,-0.311447,0.285553
5229.409,0.131348,-0.394531,0.48587
5258.927,0.162521,-0.915787,0.402344
5288.499,0.334137,-1.039261,0.773788
5318.045,0.077332,-1.424026,0.745041
5347.592,-0.001541,-1.566116,-0.134918
5377.135,-0.065903,-1.792221,-0.258545
5406.678,-0.376678,-1.637085,0.099808
5436.201,-0.116333,-1.17865,0.155899
5465.769,0.099167,-1.140091,0.145447
5495.25,-0.001221,-1.063705,0.169647
5524.793,0.002228,-1.006546,0.178696
5554.337,0.021759,-0.909042,0.408417
5583.881,0.096558,-1.007385,0.203888
5613.425,-0.113281,-0.988831,0.145233
5642.968,-0.253418,-0.924042,0.108078
5672.48,-0.108795,-0.983963,0.040955
5702.051,-0.140671,-0.946991,0.211777
5731.592,-0.174973,-0.982605,0.185776
5761.134,0.015884,-0.937546,0.163498
5790.678,0.010513,-0.956787,0.172958
5820.22,-0.203491,-1.002701,0.235046
5849.763,-0.080414,-1.06134,0.186096
5879.305,-0.099426,-0.966324,0.348923
5908.848,0.38942,-1.153351,0.250107
5938.389,0.431107,-1.148651,0.623657
5967.93,0.103378,-0.681625,0.782806
5997.47,0.286591,-0.633331,0.680054
6027.012,-1.563797,-2.653976,-2.274872
6056.552,0.236649,-0.873123,0.499405
6086.095,0.222992,-0.526138,0.577347
6115.636,0.620239,-0.512772,0.333817
6145.179,0.354248,-1.183731,0.609802
6174.724,-0.065491,-1.401825,0.721527
6204.269,0.305664,-1.669357,0.501572
6233.813,0.345688,-1.30986,0.454163
6263.353,0.180801,-0.784576,0.400375
6292.896,0.229507,-0.55928,0.417953
6322.441,0.223221,-0.454422,0.234497
6351.985,0.403397,-0.37088,0.254181
6381.528,0.32225,-0.215179,0.258743
6411.07,0.146729,-0.270462,0.310425
6440.614,0.053162,-0.604126,0.65451
6470.157,0.353516,-0.876038,0.61673
6499.702,0.315857,-1.388306,0.976913
6529.244,-0.159821,-1.052521,0.701889
6558.788,0.036102,-1.56192,-0.22171
6588.332,-0.260117,-2.172516,-0.334503
6617.877,-0.117035,-1.371582,0.030472
6647.422,-0.003342,-1.110962,0.053299
6676.967,-0.012634,-1.094864,0.142487
6706.512,-0.03537,-1.055954,0.153656
6736.057,-0.011444,-1.008102,0.167404
6765.602,-0.018082,-0.99762,0.28978
6795.141,0.065811,-1.013565,0.208694
6824.685,-0.06282,-0.982864,0.176468
6854.226,-0.237564,-0.944122,0.179413
6883.769,-0.177048,-0.942307,0.08316
6913.313,-0.0952,-0.950089,0.098053
6942.856,-0.293655,-0.968323,0.194611
6972.4,-0.03035,-0.978897,0.152542
7001.944,0.017319,-0.927078,0.210114
7031.49,-0.180267,-1.021881,0.259338
7061.034,-0.102737,-0.962616,0.215591
7090.578,-0.314743,-1.024261,0.353928
7120.122,0.561142,-1.317139,0.308578
7149.667,0.507553,-0.713776,0.488007
7179.205,0.135727,-1.203491,0.296509
7208.755,0.159088,-0.354599,1.593796
7238.301,-0.999161,-2.919769,-2.651413
7267.847,0.226715,-0.720764,0.374451
