time(ms),x_accel,y_accel,z_accel
4283.415,0.104431,-1.134415,0.335571
4312.954,0.115677,-1.124054,0.133118
4342.494,0.090576,-1.044479,0.003128
4372.035,0.207932,-1.072037,0.059494
4401.577,0.142166,-1.105316,0.067261
4431.118,-0.000961,-1.173203,0.168396
4460.661,-0.04541,-1.1465,0.240112
4490.201,-0.012299,-1.102127,0.272919
4519.744,-0.023941,-0.997452,0.256409
4549.286,-0.001892,-0.955566,0.189178
4578.83,-0.01062,-0.980652,0.17804
4608.372,-0.076172,-0.963318,0.128052
4637.91,-0.123199,-0.963272,0.126709
4667.45,-0.060608,-0.96524,0.137253
4696.992,-0.071609,-0.995331,0.19191
4726.533,-0.105255,-0.95546,0.146179
4756.072,-0.084015,-0.954544,0.095779
4785.613,-0.069412,-0.994003,0.143173
4815.151,-0.10173,-0.996231,0.081375
4844.69,-0.210312,-0.95134,0.070877
4874.229,-0.358093,-0.932571,0.036438
4903.769,-0.250061,-0.972427,0.039536
4933.309,-0.122131,-0.966034,0.042572
4962.851,-0.309235,-1.009583,0.142258
4992.393,-0.367889,-0.812927,0.314636
5021.938,-0.169785,-0.950211,-0.20105
5051.48,0.852234,-1.048355,-0.086334
5081.022,-0.224396,-0.819809,0.111679
5110.565,-1.211685,-2.153549,0.22081
5140.1,0.195908,-1.399155,-0.077896
5169.647,0.371674,-0.473297,0.423218
5199.188,0.476913,-0.63884,0.565445
5228.733,0.249405,-1.042938,0.469971
5258.277,0.339905,-1.275604,0.411942
5287.819,0.460724,-1.356598,0.518555
5317.356,0.350021,-1.077835,0.525497
5346.902,0.233109,-0.637589,0.46109
5376.445,0.207428,-0.582153,0.517639
5405.988,0.225067,-0.575058,0.353912
5435.529,0.36969,-0.554977,0.32872
5465.069,0.39061,-0.475128,0.317307
5494.59,0.173981,-0.526596,0.243515
5524.147,0.100601,-0.821594,0.316498
5553.687,0.235352,-0.792282,0.863052
5583.226,-0.357788,-1.085342,0.766953
5612.764,0.008087,-1.31427,0.152115
5642.301,0.260223,-1.464218,-0.341476
5671.825,0.173752,-1.632309,-0.088928
5701.377,-0.121918,-1.469147,0.152435
