time(ms),accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ
406.479,-0.164031982,0.000656128,-0.857650757
416.17,-0.158096313,0.057235718,-0.954559326
425.823,-0.369552612,0.111877441,-0.923126221
435.527,-0.386871338,0.207687378,-0.992095947
445.206,-0.306030273,0.187454224,-1.011749268
454.878,-0.233123779,0.10005188,-0.916091919
464.563,-0.275390625,0.046691895,-0.864990234
474.241,-0.315933228,-0.112915039,-0.808868408
483.922,-0.247879028,-0.132293701,-0.834457397
493.602,-0.092224121,-0.014511108,-0.862411499
503.266,-0.017822266,0.046142578,-0.759567261
512.96,-0.056015015,0.034286499,-0.854721069
522.64,-0.017990112,0.060241699,-0.906387329
532.301,0.023681641,0.095275879,-0.935943604
541.998,0.049240112,0.13508606,-0.919967651
551.679,0.056335449,0.1668396,-0.924163818
561.356,0.034225464,0.198028564,-0.921508789
571.034,0.00932312,0.223434448,-0.893493652
580.713,-0.004928589,0.227798462,-0.861083984
590.389,-0.033584595,0.247436523,-0.829620361
600.07,-0.034240723,0.272064209,-0.807327271
609.746,0.002548218,0.280700684,-0.765960693
619.419,0.018829346,0.303817749,-0.719116211
629.106,0.005081177,0.326766968,-0.70375061
638.786,-0.012512207,0.344146729,-0.707382202
648.464,-0.027313232,0.370529175,-0.705108643
658.143,-0.067398071,0.403274536,-0.71572876
667.822,-0.111114502,0.461181641,-0.733856201
677.501,-0.140457153,0.468490601,-0.804992676
687.18,-0.169769287,0.45703125,-0.828399658
696.854,-0.200820923,0.464614868,-0.858322144
706.538,-0.249084473,0.485794067,-0.884765625
716.215,-0.357879639,0.504714966,-0.929519653
725.876,-0.455780029,0.528839111,-0.963485718
735.565,-0.510955811,0.54145813,-0.991622925
745.25,-0.608352661,0.544921875,-0.982574463
754.919,-0.730422974,0.553985596,-0.933258057
764.608,-0.856628418,0.548294067,-0.898101807
774.287,-0.981826782,0.538619995,-0.853927612
783.966,-1.110931396,0.516876221,-0.780670166
793.645,-1.218353271,0.472106934,-0.70552063
803.299,-1.310592651,0.431442261,-0.622299194
812.973,-1.405288696,0.393585205,-0.526260376
822.682,-1.473297119,0.351669312,-0.420837402
832.35,-1.512023926,0.327163696,-0.320449829
842.031,-1.537261963,0.292037964,-0.246917725
851.716,-1.476303101,0.193649292,-0.1537323
861.374,-1.448516846,0.170135498,-0.077316284
871.061,-1.394073486,0.151321411,-0.016052246
880.742,-1.334701538,0.1015625,0.03187561
890.436,-1.310501099,0.074401855,0.09034729
900.118,-1.325195313,0.077285767,0.139663696
909.798,-1.349151611,0.090805054,0.177597046
919.461,-1.360153198,0.107421875,0.196029663
929.154,-1.372009277,0.123001099,0.214782715
938.825,-1.363815308,0.130935669,0.216262817
948.511,-1.330749512,0.114974976,0.221496582
958.19,-1.303283691,0.095687866,0.212631226
967.85,-1.255386353,0.085739136,0.203094482
977.547,-1.198135376,0.075546265,0.188140869
987.227,-1.158111572,0.060211182,0.171340942
996.903,-1.124572754,0.050811768,0.181396484
1006.584,-1.102462769,0.039108276,0.183746338
1016.251,-1.101531982,0.032058716,0.207885742
1025.925,-1.12059021,0.050750732,0.257537842
1035.619,-1.109466553,0.02130127,0.337234497
1045.3,-1.111343384,0.030593872,0.344116211
1054.977,-1.076766968,0.083435059,0.392181396
1064.659,-1.042922974,0.114593506,0.449081421
1074.339,-1.060913086,0.124099731,0.408859253
1084.011,-1.074493408,0.116973877,0.323440552
1093.699,-1.093643188,0.094772339,0.254852295
1103.379,-1.09413147,0.103744507,0.181488037
1113.058,-1.077484131,0.147720337,0.09185791
1122.735,-1.032699585,0.183914185,0.018585205
1132.414,-1.017440796,0.188598633,-0.036514282
1142.086,-1.030929565,0.175338745,-0.124710083
1151.772,-1.027297974,0.200134277,-0.146957397
1161.448,-1.044311523,0.260299683,-0.154937744
1171.129,-1.0181427,0.279815674,-0.197723389
1180.806,-0.981063843,0.247543335,-0.233779907
1190.476,-0.953994751,0.205657959,-0.244247437
1200.162,-0.969406128,0.165786743,-0.132659912
1209.841,-0.968917847,0.147476196,-0.17906189
1219.499,-0.946990967,0.206634521,-0.229385376
1229.2,-0.911773682,0.275192261,-0.138671875
1238.879,-0.878768921,0.250869751,-0.076980591
1248.55,-0.87588501,0.147689819,-0.084945679
1258.238,-0.895355225,0.150131226,-0.108215332
1267.899,-0.930358887,0.215194702,0.000747681
1277.573,-0.951782227,0.237915039,-0.018280029
1287.247,-0.960235596,0.210769653,-0.07359314
1296.921,-0.951141357,0.228378296,-0.116226196
1306.605,-0.896347046,0.308883667,-0.160491943
1316.281,-0.921676636,0.191833496,-0.064620972
1325.985,-0.952804565,0.162109375,-0.056488037
1335.65,-0.869293213,0.31300354,0.011123657
1345.334,-0.815765381,0.333602905,0.047912598
1355.016,-0.809707642,0.244857788,0.061599731
1364.686,-0.756942749,0.251541138,0.055801392
1374.374,-0.765609741,0.268096924,-0.032897949
1384.052,-0.830718994,0.239837646,-0.124984741
1393.739,-0.870819092,0.210861206,-0.172515869
1403.418,-0.944869995,0.175064087,-0.184799194
1413.096,-1.018096924,0.215698242,-0.245071411
1422.773,-1.002120972,0.337097168,-0.33013916
1432.456,-1.013626099,0.298095703,-0.336303711
1442.136,-0.986938477,0.233398438,-0.321731567
1451.816,-0.88671875,0.258422852,-0.281433105
1461.476,-0.81439209,0.251098633,-0.270339966
1471.177,-0.744781494,0.206878662,-0.251113892
1480.856,-0.732513428,0.161819458,-0.263427734
1490.525,-0.721588135,0.171722412,-0.273132324
1500.217,-0.6927948,0.183166504,-0.26713562
1509.897,-0.700210571,0.174163818,-0.264144897
1519.576,-0.713760376,0.16960144,-0.258529663
1529.259,-0.695068359,0.17868042,-0.226638794
1538.939,-0.708679199,0.113388062,0.116836548
1548.599,-0.807525635,0.065582275,0.490600586
1558.297,-0.822814941,0.086486816,0.335281372
1567.975,-0.720169067,0.08303833,0.214370728
1577.653,-0.689834595,0.161956787,0.045623779
1587.333,-0.804534912,0.29699707,-0.160797119
1597.012,-0.84437561,0.285125732,-0.274475098
1606.692,-0.864730835,0.234405518,-0.30027771
1616.372,-0.943817139,0.201843262,-0.312728882
1626.025,-1.037948608,0.191955566,-0.263793945
1635.73,-1.07875061,0.176025391,-0.181533813
1645.41,-1.069259644,0.101547241,-0.198120117
1655.075,-1.086456299,0.104751587,-0.268585205
1664.77,-1.077850342,0.086853027,-0.266143799
1674.445,-1.037017822,0.126159668,-0.294616699
1684.121,-0.975906372,0.10067749,-0.283416748
1693.809,-0.941513062,0.159606934,-0.207962036
1703.488,-0.871765137,0.206100464,-0.186416626
1713.168,-0.845718384,0.185180664,-0.233184814
1722.847,-0.799880981,0.162307739,-0.188552856
1732.526,-0.752166748,0.180023193,-0.215133667
1742.205,-0.802856445,0.257629395,-0.197189331
1751.86,-0.806564331,0.351730347,-0.139648438
1761.552,-0.816177368,0.32649231,-0.130630493
1771.246,-0.829559326,0.141067505,-0.23324585
1780.811875,-0.789352417,0.198516846,-0.261886597
1790.488875,-1.060913086,0.444152832,-0.323303223
1800.174875,-1.235046387,0.547698975,-0.387863159
1809.855875,-1.213577271,0.494415283,-0.537780762
1819.513875,-1.009338379,0.289993286,-0.515731812
1829.204875,-0.83164978,0.374450684,-0.43069458
1838.885875,-0.828201294,0.918258667,-0.214553833
1848.565875,-0.73840332,0.637374878,-0.30065918
1858.244875,-0.754745483,0.615142822,-0.231307983
1867.923875,-0.749267578,0.658432007,-0.120025635
1877.615875,-0.734375,0.672027588,-0.018417358
1887.298875,-0.759841919,0.677383423,0.002624512
1896.977875,-0.819473267,0.820220947,-0.038696289
1906.656875,-0.739517212,1.015533447,-0.138198853
1916.335875,-0.592559814,0.989578247,-0.150299072
1925.999875,-0.569900513,0.930374146,-0.09954834
1935.693875,-0.549987793,0.82673645,-0.113510132
1945.372875,-0.511108398,0.790222168,-0.219894409
1955.022875,-0.454193115,0.72428894,-0.185241699
1964.729875,-0.427642822,0.714447021,-0.179931641
1974.408875,-0.399383545,0.767852783,-0.175857544
1984.078875,-0.378540039,0.864883423,-0.218551636
1993.766875,-0.200897217,1.050506592,-0.327545166
2003.447875,-0.129928589,1.214981079,-0.390716553
2013.121875,-0.219390869,1.405944824,-0.348266602
2022.809875,-0.398010254,1.382354736,-0.092697144
2032.475875,-0.544921875,1.087127686,-0.043624878
2042.170875,-0.595474243,1.007568359,-0.094161987
2051.850875,-0.620956421,0.786804199,-0.156204224
2061.531875,-0.733718872,0.520263672,-0.173156738
2071.211875,-0.832122803,0.258224487,-0.132537842
2080.884875,-0.944915771,0.097961426,-0.103485107
2090.550875,-1.068893433,0.016616821,-0.088287354
2100.252875,-0.988052368,0.152587891,-0.118881226
2109.931875,-0.737945557,0.372360229,-0.160629272
2119.598875,-0.596389771,0.528457642,-0.194015503
2129.289875,-0.5597229,0.587127686,-0.231887817
2138.969875,-0.522399902,0.590255737,-0.22593689
2148.637875,-0.505661011,0.540390015,-0.181915283
2158.326875,-0.482421875,0.538574219,-0.128555298
2168.005875,-0.449386597,0.513687134,-0.053024292
2177.684875,-0.411468506,0.493103027,-0.015701294
2187.366875,-0.382232666,0.480545044,-0.054718018
